No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
68   1:40:07.042    2:43:52.394    2:44:07.885    15.491     15.491     Paused by player, Unpause by player
69   1:40:34.692    2:44:35.503    2:44:59.545    24.042     24.042     Paused by player, Unpause by player
70   1:40:41.692    2:45:06.525    2:45:06.995    0.470      0.470      Paused by player, Unpause by player
71   1:40:41.942    2:45:07.204    2:45:16.159    8.955      8.955      Paused by player, Unpause by player
72   1:41:15.892    2:45:50.066    2:45:51.470    1.404      1.404      Paused by player, Unpause by player
73   1:41:16.792    2:45:52.371    2:45:53.225    0.854      0.854      Paused by player, Unpause by player
74   1:41:34.892    2:46:11.323    2:46:11.867    0.544      0.544      Paused by player, Unpause by player
75   1:41:48.392    2:46:25.369    2:46:25.900    0.531      0.531      Paused by player, Unpause by player
76   1:42:01.942    2:46:39.425    2:46:44.311    4.886      4.886      Paused by player, Unpause by player
77   1:42:06.392    2:46:48.750    2:46:51.271    2.521      2.521      Paused by player, Unpause by player
78   1:42:14.242    2:46:59.085    2:47:00.533    1.448      1.448      Paused by player, Unpause by player
79   1:42:14.742    2:47:01.006    2:47:03.629    2.623      2.623      Paused by player, Unpause by player
80   1:42:14.992    2:47:03.877    2:47:04.208    0.331      0.331      Paused by player, Unpause by player
81   1:42:39.642    2:47:28.827    2:47:30.356    1.529      1.529      Paused by player, Unpause by player
82   1:42:40.242    2:47:30.945    2:47:34.162    3.217      3.217      Paused by player, Unpause by player
83   1:42:41.092    2:47:34.988    2:47:38.183    3.195      3.195      Paused by player, Unpause by player
84   1:43:11.142    2:48:08.209    2:48:11.918    3.709      3.709      Paused by player, Unpause by player
85   1:43:17.692    2:48:18.436    2:48:21.624    3.188      3.188      Paused by player, Unpause by player
86   1:43:18.292    2:48:22.206    2:48:22.970    0.764      0.764      Paused by player, Unpause by player
87   1:43:18.892    2:48:23.537    2:48:26.742    3.205      3.205      Paused by player, Unpause by player
88   1:43:42.592    2:48:50.403    2:48:52.677    2.274      2.274      Paused by player, Unpause by player
89   1:43:44.692    2:48:54.763    2:48:58.123    3.360      3.360      Paused by player, Unpause by player
90   1:44:14.992    2:49:28.407    2:50:22.533    54.126     54.126     Paused by player, Unpause by player
91   1:44:18.942    2:50:26.437    2:50:27.886    1.449      1.449      Paused by player, Unpause by player
92   1:44:21.792    2:50:30.690    2:50:33.910    3.220      3.220      Paused by player, Unpause by player
93   1:44:24.192    2:50:36.299    2:50:36.974    0.675      0.675      Paused by player, Unpause by player
94   1:44:33.992    2:50:46.735    2:50:53.494    6.759      6.759      Paused by player, Unpause by player
95   1:44:34.292    2:50:53.796    2:50:56.195    2.399      2.399      Paused by player, Unpause by player
96   1:44:34.492    2:50:56.396    2:51:00.323    3.927      3.927      Paused by player, Unpause by player
97   1:44:36.642    2:51:02.450    2:51:07.261    4.811      4.811      Paused by player, Unpause by player
98   1:45:15.942    2:51:46.529    2:51:48.909    2.380      2.380      Paused by player, Unpause by player
99   1:45:34.042    2:52:06.999    2:52:09.047    2.048      2.048      Paused by player, Unpause by player
100  1:45:57.842    2:52:32.841    2:52:34.753    1.912      1.912      Paused by player, Unpause by player
101  1:45:58.092    2:52:34.979    2:52:36.055    1.076      1.076      Paused by player, Unpause by player
102  1:46:22.742    2:53:00.704    2:53:04.415    3.711      3.711      Paused by player, Unpause by player
103  1:46:24.042    2:53:05.704    2:53:09.490    3.786      3.786      Paused by player, Unpause by player
104  1:46:24.692    2:53:10.093    2:53:18.538    8.445      8.445      Paused by player, Unpause by player
105  1:46:25.392    2:53:19.198    2:53:19.835    0.637      0.637      Paused by player, Unpause by player
106  1:46:25.642    2:53:20.055    2:53:20.396    0.341      0.341      Paused by player, Unpause by player
107  1:46:34.442    2:53:29.180    2:53:31.677    2.497      2.497      Paused by player, Unpause by player
108  1:46:59.492    2:53:56.711    2:54:03.876    7.165      7.165      Paused by player, Unpause by player
109  1:47:26.592    2:54:30.948    2:54:33.538    2.590      2.590      Paused by player, Unpause by player
110  1:47:27.842    2:54:34.766    2:54:35.744    0.978      0.978      Paused by player, Unpause by player
111  1:47:28.542    2:54:36.397    2:54:40.687    4.290      4.290      Paused by player, Unpause by player
112  1:47:54.992    2:55:07.105    2:55:15.288    8.183      8.183      Paused by player, Unpause by player
113  1:47:57.242    2:55:17.543    2:55:18.756    1.213      1.213      Paused by player, Unpause by player
114  1:47:58.942    2:55:20.436    2:55:20.801    0.365      0.365      Paused by player, Unpause by player
115  1:47:59.142    2:55:20.958    2:55:26.033    5.075      5.075      Paused by player, Unpause by player
116  1:48:08.892    2:55:35.766    2:55:36.071    0.305      0.305      Paused by player, Unpause by player
117  1:48:10.242    2:55:37.400    2:55:40.149    2.749      2.749      Paused by player, Unpause by player
118  1:48:12.192    2:55:42.079    2:55:49.895    7.816      7.816      Paused by player, Unpause by player
119  1:48:13.092    2:55:50.764    2:55:54.588    3.824      3.824      Paused by player, Unpause by player
120  1:48:16.592    2:55:58.078    2:56:00.863    2.785      2.785      Paused by player, Unpause by player
121  1:48:40.742    2:56:24.969    2:56:45.167    20.198     20.198     Paused by player, Unpause by player
122  1:49:04.242    2:57:08.624    2:57:14.262    5.638      5.638      Paused by player, Unpause by player
123  1:49:04.792    2:57:14.782    2:57:18.822    4.040      4.040      Paused by player, Unpause by player
124  1:49:05.192    2:57:19.204    2:57:22.540    3.336      3.336      Paused by player, Unpause by player
